順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,持ち物_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,持ち物_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,持ち物_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,持ち物_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,持ち物_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,持ち物_6
1,2724.878,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0547-00,エルフーン,,くさ,フェアリー,一般,,ようせいのハネ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ
2,2681.407,0547-00,エルフーン,,くさ,フェアリー,一般,,ようせいのハネ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0157-01,バクフーン,ヒスイのすがた,ほのお,ゴースト,一般,,もくたん,0983-00,ドドゲザン,,あく,はがね,一般,,きあいのタスキ,0981-00,リキキリン,,ノーマル,エスパー,一般,,オボンのみ,0142-00,プテラ,,いわ,ひこう,一般,,プテラナイト
3,2677.551,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ロゼルのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0983-00,ドドゲザン,,あく,はがね,一般,,きあいのタスキ,0547-00,エルフーン,,くさ,フェアリー,一般,,オボンのみ,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ
4,2672.083,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ,0952-00,スコヴィラン,,くさ,ほのお,一般,,スコヴィラナイト,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ,0142-00,プテラ,,いわ,ひこう,一般,,プテラナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ
11,2644.009,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0547-00,エルフーン,,くさ,フェアリー,一般,,ようせいのハネ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ
16,2636.921,0142-00,プテラ,,いわ,ひこう,一般,,,0445-00,ガブリアス,,ドラゴン,じめん,一般,,,0006-00,リザードン,,ほのお,ひこう,一般,,,0903-00,オオニューラ,,かくとう,どく,一般,,,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,,,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,
20,2620.432,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0903-00,オオニューラ,,かくとう,どく,一般,,きあいのタスキ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ロゼルのみ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,オボンのみ
22,2618.806,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0143-00,カビゴン,,ノーマル,,一般,,たべのこし,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0981-00,リキキリン,,ノーマル,エスパー,一般,,メンタルハーブ,0547-00,エルフーン,,くさ,フェアリー,一般,,ようせいのハネ
32,2603.969,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0547-00,エルフーン,,くさ,フェアリー,一般,,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,しろいハーブ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ
46,2568.931,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0547-00,エルフーン,,くさ,フェアリー,一般,,バコウのみ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ
52,2560.405,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ロゼルのみ,0248-00,バンギラス,,いわ,あく,一般,,バンギラスナイト,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,,オボンのみ,0475-00,エルレイド,,エスパー,かくとう,一般,,きあいのタスキ
54,2557.675,0323-00,バクーダ,,ほのお,じめん,一般,,バクーダナイト,0740-00,ケケンカニ,,かくとう,こおり,一般,,ケケンカニナイト,0184-00,マリルリ,,みず,フェアリー,一般,,しんぴのしずく,0475-00,エルレイド,,エスパー,かくとう,一般,,きあいのタスキ,0981-00,リキキリン,,ノーマル,エスパー,一般,,ナモのみ,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ
61,2550.950,0547-00,エルフーン,,くさ,フェアリー,一般,,きあいのタスキ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0478-00,ユキメノコ,,こおり,ゴースト,一般,,ユキメノコナイト,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,ナモのみ
76,2534.986,0478-00,ユキメノコ,,こおり,ゴースト,一般,,ユキメノコナイト,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,りゅうのキバ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく
81,2528.466,0009-00,カメックス,,みず,,一般,,カメックスナイト,0212-00,ハッサム,,むし,はがね,一般,,メタルコート,0678-00,ニャオニクス,オスのすがた,エスパー,,一般,,メンタルハーブ,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ,0968-00,ミミズズ,,はがね,,一般,,オボンのみ,1013-00,ヤバソチャ,ボンサクのすがた,くさ,ゴースト,一般,,バコウのみ
84,2526.355,0952-00,スコヴィラン,,くさ,ほのお,一般,,スコヴィラナイト,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0186-00,ニョロトノ,,みず,,一般,,オボンのみ,0956-00,クエスパトラ,,エスパー,,一般,,メンタルハーブ,0142-00,プテラ,,いわ,ひこう,一般,,プテラナイト
87,2523.709,0478-00,ユキメノコ,,こおり,ゴースト,一般,,,0903-00,オオニューラ,,かくとう,どく,一般,,,0983-00,ドドゲザン,,あく,はがね,一般,,,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,,0149-00,カイリュー,,ドラゴン,ひこう,一般,,,0445-00,ガブリアス,,ドラゴン,じめん,一般,,
103,2513.421,0925-00,イッカネズミ,３びきかぞく,ノーマル,,一般,,きあいのタスキ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,カシブのみ,0282-00,サーナイト,,エスパー,フェアリー,一般,,サーナイトナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ロゼルのみ,0727-00,ガオガエン,,ほのお,あく,一般,,オボンのみ,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,ピントレンズ
106,2512.264,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0142-00,プテラ,,いわ,ひこう,一般,,プテラナイト,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0635-00,サザンドラ,,あく,ドラゴン,一般,,ハバンのみ,0350-00,ミロカロス,,みず,,一般,,たべのこし
109,2511.193,0248-00,バンギラス,,いわ,あく,一般,,こだわりスカーフ,0530-00,ドリュウズ,,じめん,はがね,一般,,きあいのタスキ,0784-00,ジャラランガ,,ドラゴン,かくとう,一般,,りゅうのキバ,0478-00,ユキメノコ,,こおり,ゴースト,一般,,ユキメノコナイト,0571-01,ゾロアーク,ヒスイのすがた,ノーマル,ゴースト,一般,,ナモのみ,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ
120,2507.077,0981-00,リキキリン,,ノーマル,エスパー,一般,,オボンのみ,0009-00,カメックス,,みず,,一般,,カメックスナイト,0324-00,コータス,,ほのお,,一般,,もくたん,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0666-18,ビビヨン,ファンシーなもよう,むし,ひこう,一般,,こだわりスカーフ
136,2504.335,0547-00,エルフーン,,くさ,フェアリー,一般,,きあいのタスキ,0009-00,カメックス,,みず,,一般,,カメックスナイト,0763-00,アマージョ,,くさ,,一般,,きせきのタネ,0279-00,ペリッパー,,みず,ひこう,一般,,こだわりスカーフ,0461-00,マニューラ,,あく,こおり,一般,,おうじゃのしるし,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ
143,2502.105,0279-00,ペリッパー,,みず,ひこう,一般,,オボンのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,りゅうのキバ,0009-00,カメックス,,みず,,一般,,カメックスナイト,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ,0199-01,ヤドキング,ガラルのすがた,どく,エスパー,一般,,メンタルハーブ,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ
144,2502.005,0009-00,カメックス,,みず,,一般,,カメックスナイト,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0663-00,ファイアロー,,ほのお,ひこう,一般,,持ち物なし,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ
149,2501.113,0663-00,ファイアロー,,ほのお,ひこう,一般,,するどいくちばし,0584-00,バイバニラ,,こおり,,一般,,シルクのスカーフ,0128-03,ケンタロス,パルデアのすがた・ウォーターしゅ,かくとう,みず,一般,,やわらかいすな,0127-00,カイロス,,むし,,一般,,カイロスナイト,0981-00,リキキリン,,ノーマル,エスパー,一般,,オボンのみ,0009-00,カメックス,,みず,,一般,,カメックスナイト
155,2500.147,0009-00,カメックス,,みず,,一般,,カメックスナイト,0666-18,ビビヨン,ファンシーなもよう,むし,ひこう,一般,,こだわりスカーフ,0763-00,アマージョ,,くさ,,一般,,おうじゃのしるし,0584-00,バイバニラ,,こおり,,一般,,とけないこおり,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ガブリアスナイト,0968-00,ミミズズ,,はがね,,一般,,オボンのみ
172,2490.276,0302-00,ヤミラミ,,あく,ゴースト,一般,,ロゼルのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0227-00,エアームド,,はがね,ひこう,一般,,エアームドナイト,0700-00,ニンフィア,,フェアリー,,一般,,オボンのみ,0003-00,フシギバナ,,くさ,どく,一般,,フシギバナイト
212,2481.170,0740-00,ケケンカニ,,かくとう,こおり,一般,,ケケンカニナイト,0981-00,リキキリン,,ノーマル,エスパー,一般,,ナモのみ,0324-00,コータス,,ほのお,,一般,,もくたん,0003-00,フシギバナ,,くさ,どく,一般,,きあいのタスキ,0142-00,プテラ,,いわ,ひこう,一般,,プテラナイト,0727-00,ガオガエン,,ほのお,あく,一般,,オボンのみ
213,2481.161,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,こだわりスカーフ,0981-00,リキキリン,,ノーマル,エスパー,一般,,ナモのみ
230,2479.434,0478-00,ユキメノコ,,こおり,ゴースト,一般,,ユキメノコナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ
235,2478.595,0666-18,ビビヨン,ファンシーなもよう,むし,ひこう,一般,,こだわりスカーフ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0981-00,リキキリン,,ノーマル,エスパー,一般,,オボンのみ,0983-00,ドドゲザン,,あく,はがね,一般,,きあいのタスキ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0009-00,カメックス,,みず,,一般,,カメックスナイト
236,2478.281,0279-00,ペリッパー,,みず,ひこう,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0952-00,スコヴィラン,,くさ,ほのお,一般,,スコヴィラナイト,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0334-00,チルタリス,,ドラゴン,ひこう,一般,,チルタリスナイト
247,2477.377,0478-00,ユキメノコ,,こおり,ゴースト,一般,,ユキメノコナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ,0143-00,カビゴン,,ノーマル,,一般,,たべのこし
252,2476.776,0279-00,ペリッパー,,みず,ひこう,一般,,オボンのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0952-00,スコヴィラン,,くさ,ほのお,一般,,スコヴィラナイト,0903-00,オオニューラ,,かくとう,どく,一般,,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト
261,2475.678,0981-00,リキキリン,,ノーマル,エスパー,一般,,オボンのみ,0323-00,バクーダ,,ほのお,じめん,一般,,こだわりスカーフ,0547-00,エルフーン,,くさ,フェアリー,一般,,メンタルハーブ,0128-03,ケンタロス,パルデアのすがた・ウォーターしゅ,かくとう,みず,一般,,かたいいし,0934-00,キョジオーン,,いわ,,一般,,シルクのスカーフ,0127-00,カイロス,,むし,,一般,,カイロスナイト
265,2474.847,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0279-00,ペリッパー,,みず,ひこう,一般,,オボンのみ,0302-00,ヤミラミ,,あく,ゴースト,一般,,ロゼルのみ
280,2473.678,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,カシブのみ,0279-00,ペリッパー,,みず,ひこう,一般,,オボンのみ,0903-00,オオニューラ,,かくとう,どく,一般,,きあいのタスキ,0695-00,エレザード,,でんき,ノーマル,一般,,ヨプのみ
281,2473.624,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト
293,2472.388,0302-00,ヤミラミ,,あく,ゴースト,一般,,ロゼルのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,ヨプのみ,0279-00,ペリッパー,,みず,ひこう,一般,,せんせいのツメ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,のろいのおふだ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0925-00,イッカネズミ,３びきかぞく,ノーマル,,一般,,おうじゃのしるし
298,2472.102,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0663-00,ファイアロー,,ほのお,ひこう,一般,,するどいくちばし,0727-00,ガオガエン,,ほのお,あく,一般,,イトケのみ,1013-00,ヤバソチャ,ボンサクのすがた,くさ,ゴースト,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト
