順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,持ち物_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,持ち物_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,持ち物_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,持ち物_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,持ち物_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,持ち物_6
1,2815.572,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,,たべのこし,0637-00,ウルガモス,,むし,ほのお,一般,,ラムのみ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ
2,2813.795,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0939-00,ハラバリー,,でんき,,一般,,たべのこし,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,くろいメガネ,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト,0547-00,エルフーン,,くさ,フェアリー,一般,,きあいのタスキ
3,2786.814,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0094-00,ゲンガー,,ゴースト,どく,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0666-18,ビビヨン,ファンシーなもよう,むし,ひこう,一般,,たべのこし,0009-00,カメックス,,みず,,一般,,カメックスナイト
5,2779.502,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ようせいのハネ,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0350-00,ミロカロス,,みず,,一般,,ラムのみ
6,2779.179,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0530-00,ドリュウズ,,じめん,はがね,一般,,やわらかいすな,0302-00,ヤミラミ,,あく,ゴースト,一般,,ヤミラミナイト,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0658-00,ゲッコウガ,,みず,あく,一般,,こだわりスカーフ,0130-00,ギャラドス,,みず,ひこう,一般,,たべのこし
7,2776.556,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0130-00,ギャラドス,,みず,ひこう,一般,,たべのこし,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0730-00,アシレーヌ,,みず,フェアリー,一般,,ようせいのハネ
8,2776.205,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0279-00,ペリッパー,,みず,ひこう,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0658-00,ゲッコウガ,,みず,あく,一般,,くろいメガネ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト
9,2769.021,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト
10,2762.889,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0534-00,ローブシン,,かくとう,,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0450-00,カバルドン,,じめん,,一般,,たべのこし
11,2748.323,0450-00,カバルドン,,じめん,,一般,,たべのこし,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0730-00,アシレーヌ,,みず,フェアリー,一般,,しんぴのしずく,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ
