順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,もちもの_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,もちもの_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,もちもの_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,もちもの_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,もちもの_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,もちもの_6
19,1917.083,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ゴースト,きあいのタスキ,0889-00,ザマゼンタ,れきせんのゆうしゃ,かくとう,,禁止伝説,ドラゴン,くちたたて,1002-00,パオジアン,,あく,こおり,準伝説,じめん,おんみつマント,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,でんき,ブーストエナジー,0591-00,モロバレル,,くさ,どく,一般,みず,ゴツゴツメット,0641-00,トルネロス,けしんフォルム,ひこう,,準伝説,みず,するどいくちばし
28,1905.869,0383-00,グラードン,,じめん,,禁止伝説,ほのお,とつげきチョッキ,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,いのちのたま,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,くさ,こだわりハチマキ,0547-00,エルフーン,,くさ,フェアリー,一般,ゴースト,きあいのタスキ,0981-00,リキキリン,,ノーマル,エスパー,一般,みず,エレキシード,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,みず,クリアチャーム
33,1877.704,0382-00,カイオーガ,,みず,,禁止伝説,くさ,しずくプレート,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,くさ,いかさまダイス,0547-00,エルフーン,,くさ,フェアリー,一般,あく,きあいのタスキ,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,くさ,だっしゅつボタン,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ゴースト,ぼうじんゴーグル,1009-00,ウネルミナモ,,みず,ドラゴン,準伝説,フェアリー,とつげきチョッキ
57,1855.523,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ノーマル,きあいのタスキ,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,ほのお,いかさまダイス,0250-00,ホウオウ,,ほのお,ひこう,禁止伝説,みず,クリアチャーム,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,フェアリー,いのちのたま,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,ソクノのみ,0812-00,ゴリランダー,,くさ,,一般,ほのお,とつげきチョッキ
60,1853.655,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ,0889-00,ザマゼンタ,れきせんのゆうしゃ,かくとう,,禁止伝説,みず,くちたたて,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,こだわりスカーフ,0637-00,ウルガモス,,むし,ほのお,一般,みず,エレキシード,1003-00,ディンルー,,あく,じめん,準伝説,むし,こうかくレンズ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,いのちのたま
64,1850.082,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,いのちのたま,0792-00,ルナアーラ,,エスパー,ゴースト,禁止伝説,フェアリー,パワフルハーブ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ゴースト,とつげきチョッキ,0547-00,エルフーン,,くさ,フェアリー,一般,ゴースト,きあいのタスキ,0901-00,ガチグマ,,じめん,ノーマル,一般,ゴースト,かえんだま,1002-00,パオジアン,,あく,こおり,準伝説,ステラ,おんみつマント
103,1833.059,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,くさ,いかさまダイス,0235-00,ドーブル,,ノーマル,,一般,ゴースト,きあいのタスキ,0382-00,カイオーガ,,みず,,禁止伝説,でんき,しんぴのしずく,0979-00,コノヨザル,,かくとう,ゴースト,一般,ノーマル,こだわりスカーフ,1002-00,パオジアン,,あく,こおり,準伝説,どく,おんみつマント,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,いのちのたま
134,1807.778,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,くさ,たべのこし,0382-00,カイオーガ,,みず,,禁止伝説,くさ,とつげきチョッキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ゴースト,こだわりスカーフ,0645-00,ランドロス,けしんフォルム,じめん,ひこう,準伝説,みず,いのちのたま,0812-00,ゴリランダー,,くさ,,一般,みず,きせきのタネ,0861-00,オーロンゲ,,あく,フェアリー,一般,ゴースト,ひかりのねんど
214,1770.521,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ノーマル,きあいのタスキ,0491-00,ダークライ,,あく,,幻,ゴースト,じゃくてんほけん,0812-00,ゴリランダー,,くさ,,一般,ほのお,とつげきチョッキ,0637-00,ウルガモス,,むし,ほのお,一般,くさ,たべのこし,1002-00,パオジアン,,あく,こおり,準伝説,ステラ,クリアチャーム,0666-18,ビビヨン,ファンシーなもよう,むし,ひこう,一般,あく,こだわりスカーフ
293,1739.209,1024-00,テラパゴス,ノーマルフォルム,ノーマル,,禁止伝説,ステラ,パワフルハーブ,0889-00,ザマゼンタ,れきせんのゆうしゃ,かくとう,,禁止伝説,くさ,くちたたて,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりハチマキ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ノーマル,ブーストエナジー,0637-00,ウルガモス,,むし,ほのお,一般,くさ,バコウのみ,0812-00,ゴリランダー,,くさ,,一般,くさ,とつげきチョッキ
