順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,もちもの_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,もちもの_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,もちもの_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,もちもの_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,もちもの_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,もちもの_6
1,2151.941,0663-00,ファイアロー,,ほのお,ひこう,一般,どく,ぼうじんゴーグル,0991-00,テツノツツミ,,こおり,みず,パラドックス,ゴースト,ブーストエナジー,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,はがね,こだわりメガネ,0986-00,アラブルタケ,,くさ,あく,パラドックス,ほのお,いかさまダイス,0998-00,セグレイブ,,ドラゴン,こおり,一般,じめん,とつげきチョッキ,0984-00,イダイナキバ,,じめん,かくとう,パラドックス,じめん,きあいのタスキ
2,2144.874,0993-00,テツノコウベ,,あく,ひこう,パラドックス,はがね,とつげきチョッキ,0979-00,コノヨザル,,かくとう,ゴースト,一般,みず,たべのこし,0925-01,イッカネズミ,４ひきかぞく,ノーマル,,一般,ゴースト,ぼうじんゴーグル,0964-00,イルカマン,ナイーブフォルム,みず,,一般,みず,しんぴのしずく,0059-00,ウインディ,,ほのお,,一般,ノーマル,シュカのみ,0591-00,モロバレル,,くさ,どく,一般,あく,オボンのみ
3,2124.375,0663-00,ファイアロー,,ほのお,ひこう,一般,どく,ぼうじんゴーグル,0991-00,テツノツツミ,,こおり,みず,パラドックス,ゴースト,ブーストエナジー,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,はがね,こだわりメガネ,0986-00,アラブルタケ,,くさ,あく,パラドックス,ほのお,いかさまダイス,0998-00,セグレイブ,,ドラゴン,こおり,一般,じめん,とつげきチョッキ,0984-00,イダイナキバ,,じめん,かくとう,パラドックス,じめん,きあいのタスキ
4,2114.866,0984-00,イダイナキバ,,じめん,かくとう,パラドックス,じめん,きあいのタスキ,0663-00,ファイアロー,,ほのお,ひこう,一般,ゴースト,こうかくレンズ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ひこう,こだわりメガネ,0991-00,テツノツツミ,,こおり,みず,パラドックス,ゴースト,ブーストエナジー,0998-00,セグレイブ,,ドラゴン,こおり,一般,じめん,とつげきチョッキ,0986-00,アラブルタケ,,くさ,あく,パラドックス,どく,いかさまダイス
6,2108.16,0977-00,ヘイラッシャ,,みず,,一般,はがね,とつげきチョッキ,0978-00,シャリタツ,そったすがた,ドラゴン,みず,一般,みず,こだわりスカーフ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,いのちのたま,1005-00,トドロクツキ,,ドラゴン,あく,パラドックス,ひこう,ブーストエナジー,0591-00,モロバレル,,くさ,どく,一般,みず,オボンのみ,1000-00,サーフゴー,,はがね,ゴースト,一般,ひこう,こだわりメガネ
7,2105.843,0978-00,シャリタツ,そったすがた,ドラゴン,みず,一般,みず,こだわりスカーフ,0977-00,ヘイラッシャ,,みず,,一般,はがね,たべのこし,0991-00,テツノツツミ,,こおり,みず,パラドックス,ゴースト,ブーストエナジー,0984-00,イダイナキバ,,じめん,かくとう,パラドックス,じめん,きあいのタスキ,0970-00,キラフロル,,いわ,どく,一般,くさ,とつげきチョッキ,0983-00,ドドゲザン,,あく,はがね,一般,ほのお,ラムのみ
8,2088.8,0745-00,ルガルガン,まひるのすがた,いわ,,一般,ゴースト,きあいのタスキ,0248-00,バンギラス,,いわ,あく,一般,ひこう,こだわりスカーフ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,こだわりメガネ,0991-00,テツノツツミ,,こおり,みず,パラドックス,ゴースト,ブーストエナジー,0936-00,グレンアルマ,,ほのお,エスパー,一般,くさ,シュカのみ,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,エスパー,ぼうじんゴーグル
11,2070.778,0977-00,ヘイラッシャ,,みず,,一般,くさ,たべのこし,0978-00,シャリタツ,そったすがた,ドラゴン,みず,一般,はがね,こうかくレンズ,0934-00,キョジオーン,,いわ,,一般,ゴースト,オボンのみ,0279-00,ペリッパー,,みず,ひこう,一般,ゴースト,きあいのタスキ,0983-00,ドドゲザン,,あく,はがね,一般,ひこう,とつげきチョッキ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,はがね,ブーストエナジー
12,2067.331,0991-00,テツノツツミ,,こおり,みず,パラドックス,くさ,ブーストエナジー,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,きあいのタスキ,0984-00,イダイナキバ,,じめん,かくとう,パラドックス,はがね,こだわりスカーフ,1005-00,トドロクツキ,,ドラゴン,あく,パラドックス,ひこう,サイコシード,0936-00,グレンアルマ,,ほのお,エスパー,一般,くさ,じゃくてんほけん,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,くさ,オボンのみ
13,2066.663,0979-00,コノヨザル,,かくとう,ゴースト,一般,ほのお,たべのこし,1005-00,トドロクツキ,,ドラゴン,あく,パラドックス,ひこう,ブーストエナジー,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,きあいのタスキ,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,くさ,とつげきチョッキ,0576-00,ゴチルゼル,,エスパー,,一般,はがね,カシブのみ,0591-00,モロバレル,,くさ,どく,一般,いわ,オボンのみ
14,2064.567,0978-00,シャリタツ,そったすがた,ドラゴン,みず,一般,みず,こだわりスカーフ,0977-00,ヘイラッシャ,,みず,,一般,はがね,たべのこし,0991-00,テツノツツミ,,こおり,みず,パラドックス,ゴースト,ブーストエナジー,0984-00,イダイナキバ,,じめん,かくとう,パラドックス,じめん,きあいのタスキ,0970-00,キラフロル,,いわ,どく,一般,くさ,とつげきチョッキ,0983-00,ドドゲザン,,あく,はがね,一般,ほのお,ラムのみ
16,2061.351,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,いのちのたま,0991-00,テツノツツミ,,こおり,みず,パラドックス,ゴースト,ブーストエナジー,0925-01,イッカネズミ,４ひきかぞく,ノーマル,,一般,ゴースト,ぼうじんゴーグル,0979-00,コノヨザル,,かくとう,ゴースト,一般,はがね,オボンのみ,0248-00,バンギラス,,いわ,あく,一般,ひこう,とつげきチョッキ,0745-00,ルガルガン,まひるのすがた,いわ,,一般,ゴースト,きあいのタスキ
18,2059.922,0991-00,テツノツツミ,,こおり,みず,パラドックス,ゴースト,ブーストエナジー,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,くさ,こだわりメガネ,0302-00,ヤミラミ,,あく,ゴースト,一般,くさ,ひかりのねんど,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,はがね,たべのこし,0149-00,カイリュー,,ドラゴン,ひこう,一般,ひこう,こだわりハチマキ,0591-00,モロバレル,,くさ,どく,一般,はがね,ゴツゴツメット
19,2058.55,0663-00,ファイアロー,,ほのお,ひこう,一般,はがね,ぼうじんゴーグル,0986-00,アラブルタケ,,くさ,あく,パラドックス,ほのお,いかさまダイス,0248-00,バンギラス,,いわ,あく,一般,くさ,とつげきチョッキ,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりメガネ,0991-00,テツノツツミ,,こおり,みず,パラドックス,ゴースト,ブーストエナジー,0984-00,イダイナキバ,,じめん,かくとう,パラドックス,じめん,きあいのタスキ
22,2057.62,0977-00,ヘイラッシャ,,みず,,一般,はがね,たべのこし,0978-00,シャリタツ,そったすがた,ドラゴン,みず,一般,はがね,こだわりスカーフ,0991-00,テツノツツミ,,こおり,みず,パラドックス,ゴースト,ブーストエナジー,0460-00,ユキノオー,,くさ,こおり,一般,みず,オッカのみ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ノーマル,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ
23,2057.269,1005-00,トドロクツキ,,ドラゴン,あく,パラドックス,ほのお,クリアチャーム,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,こだわりメガネ,0324-00,コータス,,ほのお,,一般,かくとう,オボンのみ,0984-00,イダイナキバ,,じめん,かくとう,パラドックス,くさ,きあいのタスキ,0059-00,ウインディ,,ほのお,,一般,くさ,ふうせん,0939-00,ハラバリー,,でんき,,一般,みず,とつげきチョッキ
24,2056.588,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,こだわりメガネ,0984-00,イダイナキバ,,じめん,かくとう,パラドックス,はがね,きあいのタスキ,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,くさ,とつげきチョッキ,0059-00,ウインディ,,ほのお,,一般,ノーマル,オボンのみ,0991-00,テツノツツミ,,こおり,みず,パラドックス,ひこう,ブーストエナジー,0986-00,アラブルタケ,,くさ,あく,パラドックス,ほのお,オッカのみ
25,2055.95,0978-00,シャリタツ,そったすがた,ドラゴン,みず,一般,ドラゴン,きあいのタスキ,0977-00,ヘイラッシャ,,みず,,一般,はがね,おんみつマント,0983-00,ドドゲザン,,あく,はがね,一般,ほのお,ぼうじんゴーグル,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,いのちのたま,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,くさ,とつげきチョッキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ
27,2054.523,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,いのちのたま,0198-00,ヤミカラス,,あく,ひこう,一般,ゴースト,しんかのきせき,0991-00,テツノツツミ,,こおり,みず,パラドックス,どく,ブーストエナジー,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりメガネ,0248-00,バンギラス,,いわ,あく,一般,ゴースト,とつげきチョッキ,0984-00,イダイナキバ,,じめん,かくとう,パラドックス,じめん,きあいのタスキ
28,2054.078,0936-00,グレンアルマ,,ほのお,エスパー,一般,くさ,じゃくてんほけん,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,エスパー,サイコシード,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,いのちのたま,0979-00,コノヨザル,,かくとう,ゴースト,一般,かくとう,こだわりスカーフ,0475-00,エルレイド,,エスパー,かくとう,一般,はがね,きあいのタスキ,0248-00,バンギラス,,いわ,あく,一般,ひこう,とつげきチョッキ
29,2051.166,0925-01,イッカネズミ,４ひきかぞく,ノーマル,,一般,ゴースト,ぼうじんゴーグル,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,いのちのたま,0979-00,コノヨザル,,かくとう,ゴースト,一般,はがね,たべのこし,0248-00,バンギラス,,いわ,あく,一般,ひこう,とつげきチョッキ,0991-00,テツノツツミ,,こおり,みず,パラドックス,ゴースト,ブーストエナジー,0745-00,ルガルガン,まひるのすがた,いわ,,一般,ゴースト,きあいのタスキ
30,2050.87,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ノーマル,ブーストエナジー,0373-00,ボーマンダ,,ドラゴン,ひこう,一般,ほのお,いのちのたま,1000-00,サーフゴー,,はがね,ゴースト,一般,ほのお,こだわりメガネ,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,くさ,オボンのみ,0576-00,ゴチルゼル,,エスパー,,一般,はがね,たべのこし,0591-00,モロバレル,,くさ,どく,一般,あく,ふうせん
38,2033.388,0549-00,ドレディア,,くさ,,一般,ゴースト,おんみつマント,0324-00,コータス,,ほのお,,一般,ゴースト,こだわりメガネ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,きあいのタスキ,0986-00,アラブルタケ,,くさ,あく,パラドックス,あく,いのちのたま,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,じめん,とつげきチョッキ,0993-00,テツノコウベ,,あく,ひこう,パラドックス,はがね,ブーストエナジー
45,2026.06,0576-00,ゴチルゼル,,エスパー,,一般,ノーマル,オボンのみ,0184-00,マリルリ,,みず,フェアリー,一般,ゴースト,メンタルハーブ,0861-00,オーロンゲ,,あく,フェアリー,一般,はがね,だっしゅつボタン,0985-00,サケブシッポ,,フェアリー,エスパー,パラドックス,みず,おんみつマント,1005-00,トドロクツキ,,ドラゴン,あく,パラドックス,じめん,ブーストエナジー,0198-00,ヤミカラス,,あく,ひこう,一般,ゴースト,しんかのきせき
55,2014.654,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,あく,サイコシード,0936-00,グレンアルマ,,ほのお,エスパー,一般,くさ,オボンのみ,0858-00,ブリムオン,,エスパー,フェアリー,一般,みず,おんみつマント,0979-00,コノヨザル,,かくとう,ゴースト,一般,ほのお,たべのこし,0986-00,アラブルタケ,,くさ,あく,パラドックス,どく,フィラのみ,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,じめん,ブーストエナジー
56,2014.446,0984-00,イダイナキバ,,じめん,かくとう,パラドックス,じめん,こだわりスカーフ,0663-00,ファイアロー,,ほのお,ひこう,一般,ゴースト,おんみつマント,0991-00,テツノツツミ,,こおり,みず,パラドックス,ゴースト,ブーストエナジー,0994-00,テツノドクガ,,ほのお,どく,パラドックス,くさ,いのちのたま,0248-00,バンギラス,,いわ,あく,一般,ひこう,とつげきチョッキ,0591-00,モロバレル,,くさ,どく,一般,みず,ゴツゴツメット
57,2014.403,0991-00,テツノツツミ,,こおり,みず,パラドックス,こおり,こだわりメガネ,0460-00,ユキノオー,,くさ,こおり,一般,みず,ひかりのねんど,0871-00,バチンウニ,,でんき,,一般,でんき,いのちのたま,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,ゴースト,とつげきチョッキ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,みず,ルームサービス,0986-00,アラブルタケ,,くさ,あく,パラドックス,じめん,ブーストエナジー
70,2008.375,0991-00,テツノツツミ,,こおり,みず,パラドックス,こおり,いのちのたま,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,はがね,カシブのみ,1005-00,トドロクツキ,,ドラゴン,あく,パラドックス,どく,ブーストエナジー,0984-00,イダイナキバ,,じめん,かくとう,パラドックス,ほのお,きあいのタスキ,0700-00,ニンフィア,,フェアリー,,一般,ほのお,こだわりメガネ,0983-00,ドドゲザン,,あく,はがね,一般,ひこう,とつげきチョッキ
82,2004.939,0302-00,ヤミラミ,,あく,ゴースト,一般,はがね,ひかりのねんど,0591-00,モロバレル,,くさ,どく,一般,あく,オッカのみ,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,ほのお,クリアチャーム,0637-00,ウルガモス,,むし,ほのお,一般,くさ,たべのこし,0149-00,カイリュー,,ドラゴン,ひこう,一般,ひこう,こだわりハチマキ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,みず,ブーストエナジー
90,2003.713,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,ブーストエナジー,0984-00,イダイナキバ,,じめん,かくとう,パラドックス,はがね,とつげきチョッキ,0663-00,ファイアロー,,ほのお,ひこう,一般,ノーマル,おんみつマント,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,サイコシード,0936-00,グレンアルマ,,ほのお,エスパー,一般,エスパー,きあいのタスキ,0983-00,ドドゲザン,,あく,はがね,一般,あく,ラムのみ
97,2001.437,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ノーマル,ブーストエナジー,0936-00,グレンアルマ,,ほのお,エスパー,一般,くさ,いのちのたま,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,ほのお,オボンのみ,0986-00,アラブルタケ,,くさ,あく,パラドックス,くさ,いかさまダイス,0059-00,ウインディ,,ほのお,,一般,あく,ものまねハーブ,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,ゴースト,ぼうじんゴーグル
141,1958.637,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりメガネ,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,はがね,シュカのみ,0989-00,スナノケガワ,,でんき,じめん,パラドックス,くさ,いのちのたま,0184-00,マリルリ,,みず,フェアリー,一般,フェアリー,とつげきチョッキ,1005-00,トドロクツキ,,ドラゴン,あく,パラドックス,ひこう,ブーストエナジー,0991-00,テツノツツミ,,こおり,みず,パラドックス,かくとう,きあいのタスキ
165,1950.357,0978-00,シャリタツ,そったすがた,ドラゴン,みず,一般,ゴースト,きあいのタスキ,0977-00,ヘイラッシャ,,みず,,一般,はがね,とつげきチョッキ,0936-00,グレンアルマ,,ほのお,エスパー,一般,くさ,オボンのみ,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,ぼうじんゴーグル,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ,0983-00,ドドゲザン,,あく,はがね,一般,フェアリー,いのちのたま
250,1918.514,0055-00,ゴルダック,,みず,,一般,くさ,たべのこし,1005-00,トドロクツキ,,ドラゴン,あく,パラドックス,ひこう,ブーストエナジー,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,はがね,きあいのタスキ,0700-00,ニンフィア,,フェアリー,,一般,ほのお,オボンのみ,0936-00,グレンアルマ,,ほのお,エスパー,一般,くさ,からぶりほけん,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,ぼうじんゴーグル
510,1853.342,1005-00,トドロクツキ,,ドラゴン,あく,パラドックス,あく,ブーストエナジー,0991-00,テツノツツミ,,こおり,みず,パラドックス,みず,きあいのタスキ,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,くさ,ラムのみ,0059-00,ウインディ,,ほのお,,一般,はがね,とつげきチョッキ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,みず,くろいてっきゅう,0324-00,コータス,,ほのお,,一般,ほのお,いのちのたま
627,1834.65,0706-00,ヌメルゴン,,ドラゴン,,一般,フェアリー,とつげきチョッキ,0908-00,マスカーニャ,,くさ,あく,一般,くさ,きあいのタスキ,0983-00,ドドゲザン,,あく,はがね,一般,みず,いのちのたま,0128-03,ケンタロス,パルデアのすがた・ウォーターしゅ,かくとう,みず,一般,あく,ものまねハーブ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,ブーストエナジー,0979-00,コノヨザル,,かくとう,ゴースト,一般,ほのお,たべのこし
711,1824.572,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,ブーストエナジー,0282-00,サーナイト,,エスパー,フェアリー,一般,ほのお,こだわりメガネ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ひこう,こだわりハチマキ,0925-00,イッカネズミ,３びきかぞく,ノーマル,,一般,ゴースト,こだわりスカーフ,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,はがね,ナモのみ,0936-00,グレンアルマ,,ほのお,エスパー,一般,あく,じゃくてんほけん
929,1807.406,0977-00,ヘイラッシャ,,みず,,一般,みず,たべのこし,0279-00,ペリッパー,,みず,ひこう,一般,ドラゴン,きあいのタスキ,0925-00,イッカネズミ,３びきかぞく,ノーマル,,一般,ゴースト,ぼうじんゴーグル,0986-00,アラブルタケ,,くさ,あく,パラドックス,あく,ブーストエナジー,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,あく,オボンのみ,0981-00,リキキリン,,ノーマル,エスパー,一般,はがね,イアのみ
